Truck Name,Moving Type,Dimension,Rate,Mileage Rate,Image URL
8' Pickup Truck,Home improvement / Small loads,"Inside dimensions: 7'10"" x 5'2"" x 1'9"" (LxWxH)",$19.95 ,plus $1.09/mile,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/uhaul-pickup-truck-MD.png
9' Cargo Van,Apartment - 1 bedroom / Studio / Deliveries,"Inside dimensions: 9'6"" x 5'7"" x 4'8"" (LxWxH)


Door opening: 5'1-1/2"" x 4'1-1/2"" (WxH)


                                            
				Holds queen size mattress",$19.95 ,plus $1.09/mile,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/uhaul-cargo-van-MD.png
10' Truck,Studio to 1 Bedroom Apt.,"Inside dimensions: 9'11"" x 6'4"" x 6'2"" (LxWxH)


Door opening: 5'11"" x 5'7"" (WxH)


Deck height: 2'5"" Length: 9'11""


                                            Loading ramp: None",$19.95 ,plus $1.09/mile,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/10Medium.png
15' Truck,1 Bedroom Home to 2 Bedroom Apt.,"Inside dimensions: 15' x 7'8"" x 7'2"" (LxWxH)


Door opening: 7'3"" x 6'5"" (WxH)


Deck height: 2'9"" Length: 12'5""


                                            
				EZ-Load Ramp",$29.95 ,plus $1.09/mile,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/14Medium.png
20' Truck,2 Bedroom Home to 3 Bedroom Apt.,"Inside dimensions: 19'6"" x 7'8"" x 7'2"" (LxWxH)


Door opening: 7'3"" x 6'5"" (WxH)


Deck height: 2'11"" Length: 16'10""


                                            
				EZ-Load Ramp",$39.95 ,plus $1.09/mile,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/20Medium.png
26' Truck,3 Bedroom Home to 4 Bedroom Home,"Inside dimensions: 26'2"" x 8'2"" x 8'3"" (LxWxH)


Door opening: 7'9"" x 6'10"" (WxH)


Deck height: 2' 11"" Length 23'5""


                                            
				EZ-Load Ramp",$39.95 ,plus $1.09/mile,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/26Medium.png
